GEO_CODE (POR),GEO_LEVEL,GEO_NAME,Population Count,Median Age,Population Density (pop/km2),Mean Weeks Worked,After Tax Measure Low Income Prevalence (%),After Tax Cut-Off Low Income Prevalence (%),Total Youth (0-25),Total Adult (26+),Total Adult Males,Total Adult Females
1001101,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1001105,3,"Portugal Cove South, T",150,57.1,131.5,26.1,x,x,20,120,60,65
1001113,3,"Trepassey, T",485,59.6,8.6,32.4,20.6,20.6,50,420,205,215
1001120,3,"St. Shott's, T",65,64,58.4,23.4,x,x,5,60,30,35
1001124,3,"Division No. 1, Subd. U, SNO",1625,51.2,2.2,34.4,13.3,13.3,360,1260,640,635
1001126,3,"Cape Broyle, T",490,47.9,48.6,32.3,14.3,14.3,130,360,170,180
1001131,3,"Renews-Cappahayden, T",300,57.6,2.4,30.5,18.3,18.3,45,255,125,130
1001136,3,"Fermeuse, T",325,56.2,8.4,31,17.2,17.2,65,265,125,140
1001140,3,"Port Kirwan, T",50,65,5.7,16,x,x,5,55,15,25
1001144,3,"Aquaforte, T",80,63.8,11.7,27.4,x,x,15,75,30,35
1001149,3,"Ferryland, T",415,56.3,30.4,30,14.5,14.5,75,345,175,170
1001155,3,"Division No. 1, Subd. W, SNO",435,56.3,0.5,31.1,11.5,11.5,50,390,200,185
1001169,3,"St. Vincent's-St. Stephen's-Peter's River, T",310,58.3,3.6,25.7,23.8,23.8,40,270,140,115
1001174,3,"Gaskiers-Point La Haye, T",230,58.3,9.7,23.2,x,x,35,190,95,100
1001178,3,"St. Mary's, T",345,59.2,9.4,39.4,15.7,15.7,45,300,155,150
1001181,3,"Riverhead, T",185,58.1,1.8,29.2,x,x,25,160,80,90
1001186,3,"Admirals Beach, T",135,58.4,5.5,22.9,x,x,20,120,55,60
1001192,3,"St. Joseph's, T",115,61.4,3.6,22.4,x,x,15,110,50,50
1001197,3,"Mount Carmel-Mitchells Brook-St. Catherine's, T",350,58.8,5.7,33.5,13,13,40,310,155,145
1001203,3,"Division No. 1, Subd. X, SNO",510,54.7,0.9,33.4,13.7,13.7,80,435,235,210
1001207,3,"Colinet, T",80,59,12.8,33.9,x,x,10,60,30,35
1001214,3,"Division No. 1, Subd. C, SNO",100,60.8,0.1,30.3,x,x,5,100,45,50
1001219,3,"Branch, T",230,56.4,14.1,24,x,x,50,190,90,85
1001225,3,"Point Lance, T",105,50.5,3.5,27.7,x,x,25,75,35,35
1001228,3,"St. Bride's, T",255,56.9,43.1,27.1,x,x,35,215,110,115
1001234,3,"Division No. 1, Subd. B, SNO",360,54.8,0.8,37.6,16.7,16.7,75,295,140,150
1001240,3,"Placentia, T",3495,53.3,60.2,38.2,17.6,17.6,740,2765,1325,1460
1001254,3,"Fox Harbour, T",250,53,12.7,37.3,22,22,55,195,110,95
1001259,3,"Division No. 1, Subd. A, SNO",730,59.2,0.9,35.6,18.5,18.5,75,650,345,315
1001263,3,"Long Harbour-Mount Arlington Heights, T",185,55.9,10.1,38.8,x,x,30,155,95,75
1001267,3,"Southern Harbour, T",370,53.3,68.3,27.3,15.1,15.1,70,295,150,145
1001270,3,"Arnold's Cove, T",950,51.3,198.2,34.1,12.6,12.6,205,740,360,380
1001274,3,"Come By Chance, T",230,48.8,5.7,37.2,x,x,55,175,100,95
1001277,3,"Sunnyside, T",395,50.5,10,42.6,11.3,11.3,85,320,155,155
1001281,3,"Chance Cove, T",255,59,14.1,31.9,19.2,19.2,20,235,125,115
1001285,3,"Norman's Cove-Long Cove, T",670,55,33.3,33.4,14.2,14.2,140,530,255,265
1001289,3,"Chapel Arm, T",460,51.2,16.3,33.8,13.2,13.2,105,345,185,175
1001293,3,"Division No. 1, Subd. Y, SNO",1120,49.7,5.9,38.7,16.1,16.1,260,865,425,435
1001298,3,"Whitbourne, T",890,47.9,41.4,39.5,14,14,235,655,305,350
1001304,3,"Division No. 1, Subd. E, SNO",2940,50.5,13.4,36.7,17.7,17.7,655,2285,1095,1185
1001308,3,"Whiteway, T",370,52.6,16.5,39.4,12.1,12.1,80,290,135,170
1001312,3,"Heart's Delight-Islington, T",675,55.4,24.7,36.9,17.8,17.8,125,545,260,290
1001316,3,"Heart's Desire, T",210,54.2,12.3,35.4,x,x,35,185,75,100
1001321,3,"Division No. 1, Subd. F, SNO",545,53,3.1,30.8,16.5,16.5,105,430,225,215
1001325,3,"Heart's Content, T",340,59.2,5.4,31.6,20.6,20.6,40,305,150,155
1001328,3,"New Perlican, T",190,58.8,7.6,36.7,x,x,25,160,80,75
1001332,3,"Winterton, T",450,58.2,42.7,32.1,16.5,16.5,65,385,195,200
1001335,3,"Hant's Harbour, T",330,57.6,10.2,22.8,19.7,19.7,55,280,125,150
1001339,3,"Division No. 1, Subd. G, SNO",1865,55.4,6,27.6,21.2,21.2,315,1545,765,775
1001343,3,"Old Perlican, T",635,48.4,43.7,27.1,7.1,7.1,135,500,250,245
1001347,3,"Bay de Verde, T",390,55.4,29.5,22.9,12.7,12.7,70,320,155,170
1001352,3,"Small Point-Adam's Cove-Blackhead-Broad Cove, T",390,54.4,17.4,33.8,15.6,15.6,70,305,160,155
1001357,3,"Division No. 1, Subd. H, SNO",390,54.4,6.9,32.1,12.8,12.8,80,295,150,155
1001361,3,"Salmon Cove, T",680,51,161.6,37.8,16.2,16.2,155,520,265,260
1001365,3,"Victoria, T",1800,47.3,102.1,35.5,17.8,17.8,450,1360,625,730
1001370,3,"Carbonear, T",4860,49,411.5,38.8,17.1,17.1,1190,3665,1680,1995
1001374,3,"Division No. 1, Subd. I, SNO",295,45.4,4.6,41.4,6.7,6.7,70,235,110,110
1001375,3,"Bryant's Cove, T",395,46.2,80.9,36.4,16.5,16.5,105,290,130,155
1001379,3,"Harbour Grace, T",2995,51.2,88.8,36.5,21,21,655,2350,1140,1205
1001385,3,"Upper Island Cove, T",1565,49.6,199,36.8,18.3,18.3,360,1210,560,625
1001391,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1001394,3,"Bishop's Cove, T",285,54.9,152,35.9,20.7,20.7,50,240,125,120
1001396,3,"Spaniard's Bay, T",2655,45.7,40.4,37.5,18.3,18.3,695,1950,960,1005
1001405,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA
1001409,3,"Bay Roberts, T",6015,44.3,249.9,38.6,15.9,15.9,1670,4355,2050,2290
1001415,3,"Division No. 1, Subd. L, SNO",925,46.6,114.8,34.2,14.5,14.5,245,690,315,345
1001421,3,"Division No. 1, Subd. M, SNO",1070,49.2,7.7,35.5,15.9,15.9,245,825,420,415
1001426,3,"North River, T",570,50.1,137.7,36,11.4,11.4,125,435,220,235
1001429,3,"Clarke's Beach, T",1555,53.2,122.6,40.5,19.6,19.6,330,1215,530,695
1001434,3,"South River, T",650,51.5,107.1,40.4,11.6,11.6,125,525,245,270
1001437,3,"Cupids, T",745,49.7,67.4,37.5,16.1,16.1,170,570,275,300
1001441,3,"Division No. 1, Subd. N, SNO",370,48.1,28.5,33.7,16.2,16.2,85,285,150,145
1001446,3,"Brigus, T",725,51.3,62.5,34.9,18.8,18.8,150,570,295,290
1001452,3,"Division No. 1, Subd. O, SNO",660,52,8.4,35.4,12.8,12.8,110,560,295,255
1001456,3,"Colliers, T",655,50.6,24.9,33.8,12.2,12.2,135,520,260,255
1001461,3,"Conception Harbour, T",685,49.9,31.7,35.8,14,14,160,530,255,260
1001464,3,"Avondale, T",640,47.5,21.4,38,15.6,15.6,160,490,240,240
1001469,3,"Harbour Main-Chapel's Cove-Lakeview, T",1065,49.9,50.6,38.6,8.9,8.9,240,820,395,420
1001472,3,"Holyrood, T",2460,46.8,19.6,40.7,10.1,10.1,590,1860,925,950
1001485,3,"Conception Bay South, T",26200,41.1,443.3,43.2,8.1,8.1,7540,18670,9100,9565
1001490,3,"Division No. 1, Subd. R, SNO",320,59.4,19.1,33.3,29.7,29.7,40,295,145,140
1001494,3,"Wabana, T",2145,51.4,148,37,44.7,44.7,490,1650,775,880
1001504,3,"Portugal Cove-St. Philip's, T",8150,41.2,141.9,43.4,6.9,6.9,2375,5775,2850,2930
1001505,3,"Pouch Cove, T",2070,41,35.5,42.6,12.1,12.1,590,1485,715,765
1001507,3,"Flatrock, T",1685,37.7,92.9,43.2,5.3,5.3,510,1170,580,580
1001509,3,"Torbay, T",7900,39.4,226.4,43.3,7.2,7.2,2485,5415,2615,2795
1001511,3,"Logy Bay-Middle Cove-Outer Cove, T",2220,45,130.9,44.4,2.7,2.7,635,1580,780,805
1001512,3,"Bauline, T",450,41.5,28.3,42,6.7,6.7,125,325,175,155
1001517,3,"Paradise, T",21390,35.7,723,44.2,5.7,5.7,6900,14485,7035,7460
1001519,3,"St. John's, CY",108860,40.5,244.1,42.5,16,16,29280,79580,37510,42060
1001542,3,"Mount Pearl, CY",22955,44.5,1456.8,43.4,9,9,5785,17180,8040,9145
1001551,3,"Petty Harbour-Maddox Cove, T",960,43.6,211.5,41.7,10.9,10.9,275,695,330,355
1001557,3,"Bay Bulls, T",1500,39.3,48.8,40.6,9.7,9.7,430,1065,515,540
1001559,3,"Witless Bay, T",1615,38.6,92.6,39.7,8,8,460,1165,575,585
1001565,3,"Division No. 1, Subd. D, SNO",90,54,0.3,37.5,x,x,15,65,40,35
1002001,3,"Division No. 2, Subd. E, SNO",245,52.5,1.8,34.7,x,x,45,195,85,100
1002002,3,"Lewin's Cove, T",550,46.8,83.4,42.1,13.6,13.6,135,425,200,215
1002005,3,"Burin, T",2315,47.9,67.8,38.8,14.3,14.3,540,1770,855,920
1002006,3,"Division No. 2, Subd. F, SNO",115,48.8,0.6,21.9,x,x,25,80,40,50
1002008,3,"St. Lawrence, T",1195,50.7,33.6,31.6,17.6,17.6,280,915,435,485
1002009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1002011,3,"Lawn, T",625,49.7,172.8,31.9,17.7,17.7,155,460,220,235
1002012,3,"Lamaline, T",265,54.2,3.3,28,20.8,20.8,65,210,105,105
1002013,3,"Lord's Cove, T",160,53.7,5.2,34.4,x,x,30,135,65,65
1002014,3,"Point May, T",230,57.1,3.6,27.8,x,x,45,190,95,85
1002015,3,"Point au Gaul, T",85,54.5,22.5,30.8,x,x,20,70,40,30
1002016,3,"Division No. 2, Subd. H, SNO",180,61.1,0.7,38.3,x,x,20,165,80,80
1002017,3,"Frenchman's Cove, T",165,59.9,2.5,31.3,x,x,25,135,65,75
1002018,3,"Fortune, T",1400,52,25.5,34.2,21.4,21.4,305,1100,535,555
1002019,3,"Grand Bank, T",2310,55.3,136.1,36.5,19.4,19.4,430,1880,890,995
1002021,3,"Garnish, T",570,50.6,14.5,30.3,13.2,13.2,115,450,225,225
1002022,3,"Division No. 2, Subd. D, SNO",230,53.2,6.8,36.3,x,x,35,180,90,100
1002023,3,"Winterland, T",390,46.3,7.2,35.6,7.7,7.7,100,290,135,150
1002024,3,"Marystown, T",5315,47,85.8,39.4,17.1,17.1,1345,3980,1900,2070
1002025,3,"Fox Cove-Mortier, T",295,50.9,11.5,35.5,15.3,15.3,80,225,105,105
1002026,3,"Division No. 2, Subd. I, SNO",135,58.1,0.3,22.1,x,x,25,110,50,65
1002027,3,"Bay L'Argent, T",240,51.6,65.5,33,x,x,40,200,105,100
1002029,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1002030,3,"Grand le Pierre, T",235,50.8,1.5,29.9,x,x,50,190,90,95
1002031,3,"Division No. 2, Subd. C, SNO",565,53.1,0.4,33.9,16.8,16.8,95,460,240,235
1002033,3,"Rushoon, T",245,54.8,39.8,21.2,x,x,45,200,105,85
1002034,3,"Parkers Cove, T",250,50,51.1,34.6,x,x,55,195,90,90
1002036,3,"Terrenceville, T",485,48.2,32.9,29.2,17.7,17.7,110,365,185,185
1002037,3,"Red Harbour, T",190,48.5,16.7,30.9,x,x,55,140,65,70
1002039,3,"English Harbour East, T",135,52.5,43.4,30.4,x,x,30,115,55,60
1002040,3,"Baine Harbour, T",120,50.2,25.7,30.1,x,x,30,90,50,40
1002041,3,"St. Bernard's-Jacques Fontaine, T",435,53,26.2,34.2,18.6,18.6,80,355,170,180
1002044,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1002048,3,"Division No. 2, Subd. K, SNO",560,59.9,0.5,30.6,12.5,12.5,80,485,240,235
1002055,3,"Little Bay East, T",125,52.1,85.5,33.7,x,x,25,100,60,55
1003001,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1003002,3,"Rencontre East, T",140,39.8,53.1,29.8,x,x,40,105,45,45
1003003,3,"St. Jacques-Coomb's Cove, T",590,48.5,7,28.1,23.9,23.9,135,465,225,240
1003004,3,"Belleoram, T",375,45,177.3,23,41.9,41.9,110,260,130,120
1003005,3,"Pool's Cove, T",190,53.2,73.1,32.5,x,x,40,150,60,70
1003006,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1003008,3,"Harbour Breton, T",1635,48.4,118.9,32.7,18.2,18.2,385,1250,595,655
1003009,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1003010,3,"Seal Cove (Fortune Bay), T",240,58,100.1,37.7,x,x,30,215,100,100
1003011,3,"Hermitage-Sandyville, T",425,54,14.6,31.2,16.7,16.7,70,355,175,180
1003012,3,"Gaultois, T",135,52.5,31.4,33.4,x,x,25,120,45,40
1003014,3,"Division No. 3, Subd. D, SNO",265,56,0,36.2,17.3,17.3,30,240,110,115
1003018,3,"Milltown-Head of Bay d'Espoir, T",750,56.4,29.9,36.4,20,20,110,630,305,325
1003019,3,"St. Alban's, T",1185,52.3,56.9,38.1,21.1,21.1,235,940,470,475
1003020,3,"Morrisville, T",100,57.9,7.1,29.5,x,x,10,80,50,45
1003021,3,"Division No. 3, Subd. E, SNO",90,50.5,0,30.6,x,x,15,60,35,40
1003024,3,"Division No. 3, Subd. F, SNO",115,53.5,0,28,x,x,25,100,45,40
1003026,3,"Ramea, T",445,58.6,236,29.5,23.6,23.6,50,400,195,200
1003028,3,"Burgeo, T",1310,56.4,41.7,28.3,22.8,22.8,180,1140,525,595
1003031,3,"Division No. 3, Subd. H, SNO",710,50.5,1.1,35.3,13.5,13.5,150,555,275,275
1003032,3,"Isle aux Morts, T",665,53.9,86.7,30.5,20.5,20.5,125,535,260,285
1003033,3,"Burnt Islands, T",620,50.5,65.3,26,8,8,130,495,245,250
1003034,3,"Channel-Port aux Basques, T",4065,51.7,104.9,36.5,16.6,16.6,865,3200,1470,1730
1003038,3,"Division No. 3, Subd. I, SNO",85,54.1,0,19.6,x,x,10,80,35,35
1003042,3,"Division No. 3, Subd. J, SNO",50,61.3,0.1,15.9,x,x,0,50,30,25
1003045,3,"Rose Blanche-Harbour le Cou, T",395,59.6,88.6,24.8,26.9,26.9,50,345,160,190
1003801,3,"Samiajij Miawpukek, IRI",955,37.9,56.8,26.1,0,0,330,630,330,305
1004001,3,"Division No. 4, Subd. A, SNO",1700,56.5,1.4,28.5,22,22,285,1415,700,710
1004006,3,"Division No. 4, Subd. B, SNO",1175,56.4,0.6,27.1,29.9,29.9,180,990,500,500
1004011,3,"Division No. 4, Subd. C, SNO",750,51.3,0.3,31.3,37.6,37.6,165,580,285,300
1004013,3,"St. George's, T",1200,50.4,46.6,35.8,26.1,26.1,285,910,430,475
1004016,3,"Division No. 4, Subd. D, SNO",860,53.4,0.7,36.6,24.4,24.4,160,700,355,350
1004017,3,"Gallants, T",50,65,7.9,0,x,x,0,45,30,15
1004018,3,"Stephenville Crossing, T",1715,52.5,55.1,37.9,33.2,33.2,360,1375,645,730
1004019,3,"Stephenville, T",6620,48.6,185.6,39.9,29.9,29.9,1625,4995,2280,2735
1004020,3,"Kippens, T",2010,49.8,140.3,38.3,12.5,12.5,490,1505,735,775
1004021,3,"Port au Port East, T",575,53.2,23.4,37.6,21.6,21.6,125,465,225,235
1004022,3,"Division No. 4, Subd. E, SNO",1955,48.6,6.6,31.7,40.7,40.7,470,1485,770,720
1004033,3,"Cape St. George, T",855,49.6,25.5,32.5,38,38,210,645,315,330
1004037,3,"Lourdes, T",465,50.9,57.4,31.5,37.6,37.6,95,360,185,190
1004042,3,"Port au Port West-Aguathuna-Felix Cove, T",450,54.7,26.9,35.4,26.7,26.7,75,370,190,190
1005001,3,"Division No. 5, Subd. A, SNO",280,54.7,0.1,31.9,14.5,14.5,55,220,120,110
1005003,3,"Division No. 5, Subd. G, SNO",465,56.2,0.1,28.3,30.9,30.9,75,395,200,200
1005004,3,"Deer Lake, T",5250,47.6,71.7,38.4,17.9,17.9,1325,3935,1845,2085
1005005,3,"Jackson's Arm, T",285,55.8,40.4,28.1,26.3,26.3,55,240,110,115
1005006,3,"Howley, T",205,59.9,10.3,37,x,x,15,190,95,95
1005007,3,"Division No. 5, Subd. E, SNO",215,61.2,0.2,29.3,x,x,20,205,105,75
1005008,3,"Hampden, T",430,52.6,13,33.3,23.3,23.3,90,340,165,165
1005009,3,"Reidville, T",510,47.6,8.7,35.6,10.8,10.8,135,370,185,180
1005010,3,"Division No. 5, Subd. F, SNO",825,46.6,1,38.1,9.7,9.7,210,620,300,300
1005011,3,"Steady Brook, T",445,48,364.4,42.7,3.4,3.4,115,335,165,160
1005012,3,"Pasadena, T",3620,47.8,73.6,39.8,8.3,8.3,865,2760,1320,1420
1005014,3,"Cormack, T",600,50.3,4.5,36.8,20.8,20.8,135,445,220,230
1005015,3,"Gillams, T",410,45.6,61.2,38.6,13.4,13.4,105,300,150,160
1005016,3,"Division No. 5, Subd. C, SNO",275,46,0.6,43.7,10.9,10.9,60,225,115,110
1005017,3,"Massey Drive, T",1630,36.5,658.7,42.8,6.1,6.1,555,1080,540,545
1005018,3,"Corner Brook, CY",19805,47.9,133.6,40.4,16.9,16.9,4840,14965,6970,8005
1005019,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1005020,3,"Humber Arm South, T",1600,48,24.6,33.5,16.3,16.3,360,1245,615,630
1005022,3,"McIvers, T",535,49.9,44.6,34.5,17.6,17.6,130,410,205,205
1005023,3,"Cox's Cove, T",690,50.7,95.4,30.2,21,21,160,530,250,280
1005024,3,"Lark Harbour, T",520,51,40.4,31.3,23.3,23.3,110,405,200,190
1005025,3,"Meadows, T",625,52.1,165.1,38.4,13.2,13.2,125,505,245,255
1005028,3,"Hughes Brook, T",255,38.2,159.5,42.6,3.9,3.9,75,175,85,90
1005030,3,"Irishtown-Summerside, T",1420,48.2,119.2,39.5,12.9,12.9,320,1105,535,550
1005033,3,"Mount Moriah, T",745,45.9,47.5,37.6,13.4,13.4,195,540,270,275
1005035,3,"York Harbour, T",345,51.8,24.8,31.4,15.9,15.9,80,270,135,135
1006001,3,"Division No. 6, Subd. D, SNO",680,57.9,0.2,36.7,8.1,8.1,110,570,295,275
1006003,3,"Norris Arm, T",740,53.6,17.8,31.8,23.8,23.8,140,590,290,280
1006008,3,"Division No. 6, Subd. E, SNO",195,53,0.1,42.7,x,x,25,160,90,75
1006009,3,"Gander, T",11690,43.2,112.1,41.6,12.1,12.1,3210,8475,3975,4495
1006011,3,"Appleton, T",575,48.2,89.8,42.4,9.6,9.6,140,435,215,220
1006012,3,"Glenwood, T",780,48.2,112.5,38.2,17.4,17.4,190,595,295,300
1006014,3,"Division No. 6, Subd. C, SNO",680,56.4,0.2,36.5,11.9,11.9,100,575,305,285
1006015,3,"Northern Arm, T",430,55.3,16.6,36.4,18.8,18.8,75,355,165,190
1006017,3,"Grand Falls-Windsor, T",14170,47,259.2,39.4,17,17,3530,10645,4960,5680
1006019,3,"Bishop's Falls, T",3155,51.3,112.2,37.6,21.5,21.5,695,2475,1190,1265
1006021,3,"Peterview, T",830,47.2,123.2,33.5,37.6,37.6,210,615,305,300
1006022,3,"Botwood, T",2875,51.8,191.1,37,25.8,25.8,645,2220,1055,1175
1006026,3,"Badger, T",700,52,359.2,37.7,15,15,150,565,270,295
1006028,3,"Millertown, T",80,57.4,25,31.3,x,x,10,75,35,30
1006029,3,"Division No. 6, Subd. A, SNO",125,58,0,28,x,x,20,105,65,55
1006031,3,"Buchans, T",645,59.3,131.5,31,21.7,21.7,100,530,250,285
1007001,3,"Division No. 7, Subd. M, SNO",1965,54.1,4.3,33.7,18.1,18.1,340,1630,810,815
1007006,3,"Division No. 7, Subd. L, SNO",1235,51.3,5.1,37.2,16.5,16.5,260,980,490,490
1007009,3,"Division No. 7, Subd. K, SNO",1275,49,2.6,40.7,16.1,16.1,285,990,485,505
1007013,3,"Clarenville, T",6290,41.9,44.7,40.2,11.6,11.6,1830,4465,2070,2395
1007014,3,"Division No. 7, Subd. J, SNO",460,55.5,1.7,27.1,22.8,22.8,75,390,195,205
1007015,3,"Trinity (Trinity Bay), T",165,54.5,13.1,39.8,x,x,25,150,60,75
1007016,3,"Port Rexton, T",340,52.8,28.9,27.8,26.5,26.5,70,275,130,130
1007018,3,"Division No. 7, Subd. I, SNO",75,59.5,0.4,18.5,x,x,10,70,25,30
1007020,3,"Elliston, T",310,52.4,30.7,32.8,29,29,60,250,120,125
1007022,3,"Trinity Bay North, T",1820,53.9,71.5,32.3,23.5,23.5,335,1500,705,765
1007023,3,"Bonavista, T",3450,51.1,109.4,30.7,21.5,21.5,695,2765,1300,1460
1007024,3,"Division No. 7, Subd. G, SNO",345,55.2,2.4,28.4,29,29,65,280,145,150
1007025,3,"Keels, T",50,56.2,7.8,24,x,x,10,35,15,20
1007026,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA
1007027,3,"King's Cove, T",90,60.4,4.2,40.5,x,x,10,85,40,45
1007028,3,"Division No. 7, Subd. F, SNO",845,57.2,2.9,29.3,23.7,23.7,115,725,360,375
1007031,3,"Division No. 7, Subd. E, SNO",2645,51.5,1.6,34.6,18,18,535,2105,1035,1070
1007032,3,"Musgravetown, T",565,51.4,41.4,34.8,14.7,14.7,130,445,205,225
1007036,3,"Port Blandford, T",600,54.6,11.9,37.9,11.8,11.8,100,490,235,260
1007037,3,"Traytown, T",265,53.8,20.1,34.9,11.1,11.1,50,220,105,115
1007038,3,"Division No. 7, Subd. D, SNO",230,59.4,0.1,29.5,x,x,30,205,100,85
1007039,3,"Sandy Cove, T",125,62.4,13.5,29.5,x,x,15,120,70,55
1007040,3,"Terra Nova, T",75,62.3,29.6,38.6,x,x,10,60,40,25
1007041,3,"Happy Adventure, T",200,57.2,20.8,31.8,x,x,25,185,85,80
1007042,3,"Eastport, T",500,56.8,26.9,29.8,20,20,85,410,185,215
1007043,3,"Sandringham, T",230,53.1,23.9,36.1,x,x,30,180,90,105
1007044,3,"Glovertown, T",2080,51.7,29.6,33.4,14.9,14.9,470,1620,770,835
1007045,3,"Division No. 7, Subd. N, SNO",50,62,0,29.6,x,x,0,45,25,25
1007046,3,"Salvage, T",125,57.8,7.8,25.9,x,x,20,110,35,65
1007047,3,"Gambo, T",1980,49.6,21.5,35.3,16.5,16.5,450,1530,755,765
1007048,3,"St. Brendan's, T",145,56.9,14.3,28.9,x,x,25,135,65,60
1007049,3,"Hare Bay, T",970,51.2,28.4,30.8,27.8,27.8,210,745,360,395
1007050,3,"Centreville-Wareham-Trinity, T",1150,55.7,30.8,26.1,22.3,22.3,205,930,475,470
1007051,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1007054,3,"Greenspond, T",270,51,93.3,21.7,13,13,50,200,115,105
1007056,3,"Division No. 7, Subd. A, SNO",140,50.4,0.5,20.3,x,x,25,120,65,55
1007057,3,"Dover, T",660,49,57.3,27.5,34.1,34.1,145,515,265,245
1007060,3,"New-Wes-Valley, T",2170,54.3,16.3,29.4,13.4,13.4,395,1775,855,925
1007067,3,"Indian Bay, T",175,50.8,2,29.3,x,x,40,150,55,65
1008001,3,"Division No. 8, Subd. M, SNO",130,52.2,0.2,24.6,x,x,25,105,60,50
1008004,3,"Lumsden, T",500,52.7,24.5,30.5,10,10,95,410,200,195
1008006,3,"Musgrave Harbour, T",990,50.9,14.2,30.8,18.1,18.1,205,780,380,390
1008008,3,"Division No. 8, Subd. L, SNO",3060,50,2.3,28.9,25.9,25.9,675,2385,1175,1210
1008011,3,"Carmanville, T",740,48.7,17.2,30.6,25.5,25.5,170,580,295,270
1008024,3,"Change Islands, T",210,62,39.2,25.5,x,x,20,190,105,95
1008026,3,"Division No. 8, Subd. I, SNO",215,54.8,24.1,34.8,x,x,45,175,85,75
1008029,3,"Crow Head, T",175,57.6,59.4,31.3,x,x,35,140,70,80
1008031,3,"Division No. 8, Subd. H, SNO",1900,53.4,10.7,27.3,31.6,31.6,350,1565,775,775
1008032,3,"Cottlesville, T",270,50.3,24.3,28.7,27.8,27.8,50,230,100,115
1008033,3,"Summerford, T",910,50,56.4,27.8,26.8,26.8,175,735,360,370
1008035,3,"Twillingate, T",2200,55,85.3,30.9,21.3,21.3,370,1825,855,970
1008036,3,"Division No. 8, Subd. G, SNO",430,58.2,0.8,26.5,28.7,28.7,60,365,190,200
1008037,3,"Campbellton, T",450,54.8,12.7,36.4,20,20,75,380,200,185
1008038,3,"Birchy Bay, T",550,52.8,11.1,30.7,20.9,20.9,105,445,210,225
1008039,3,"Comfort Cove-Newstead, T",410,55.9,13.6,26,28,28,80,345,180,155
1008040,3,"Baytona, T",260,54.6,17,33.4,22.6,22.6,50,225,110,100
1008042,3,"Division No. 8, Subd. F, SNO",930,53.1,8.8,36.1,23.3,23.3,200,725,380,355
1008043,3,"Embree, T",700,50,38.6,36.3,22.6,22.6,165,535,260,280
1008044,3,"Lewisporte, T",3410,52.6,92.4,37.5,18.6,18.6,715,2690,1265,1440
1008045,3,"Little Burnt Bay, T",280,52.5,33.1,29.2,17.9,17.9,55,220,110,115
1008046,3,"Division No. 8, Subd. E, SNO",550,56.4,0.8,30.3,28.2,28.2,85,465,220,220
1008047,3,"Point of Bay, T",155,56.3,7,34.8,x,x,25,135,60,55
1008048,3,"Leading Tickles, T",295,56,10.9,29,26.3,26.3,55,240,120,120
1008049,3,"Point Leamington, T",590,56.4,20.5,33.6,22,22,95,505,235,265
1008052,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
1008053,3,"Pilley's Island, T",295,53.5,8.5,27.3,23.7,23.7,55,245,125,125
1008054,3,"Triton, T",985,47.2,130.2,27.4,17.3,17.3,245,735,370,390
1008055,3,"Brighton, T",190,50.4,84.3,23.6,x,x,35,145,75,70
1008056,3,"Lushes Bight-Beaumont-Beaumont North, T",170,59.5,4.9,28.3,x,x,0,155,80,75
1008058,3,"Division No. 8, Subd. C, SNO",440,58.6,0.4,31.5,18.4,18.4,45,390,190,190
1008059,3,"South Brook, T",480,53.8,53.1,33.3,25,25,85,385,205,195
1008060,3,"Robert's Arm, T",805,49.8,22.5,30.6,24.8,24.8,185,625,300,320
1008061,3,"Springdale, T",2970,51.6,168.8,35.9,21.1,21.1,665,2300,1075,1230
1008062,3,"Port Anson, T",130,58.8,16.9,31.1,x,x,25,110,60,55
1008063,3,"Little Bay, T",105,59.8,72.5,41.3,x,x,10,100,35,50
1008064,3,"Little Bay Islands, T",70,65.5,9.9,32.8,x,x,10,75,35,45
1008065,3,"Division No. 8, Subd. P, SNO",335,57.4,0.9,30.4,23.9,23.9,45,290,140,160
1008066,3,"Beachside, T",130,59,50.5,25,x,x,10,120,60,55
1008067,3,"Division No. 8, Subd. O, SNO",305,49.8,0.8,24.9,16.4,16.4,70,235,125,115
1008069,3,"King's Point, T",660,48,14.2,32.1,15.2,15.2,145,515,240,250
1008070,3,"Nippers Harbour, T",85,47.9,44,18.3,x,x,25,70,40,40
1008071,3,"Burlington, T",315,46.9,76.7,34.2,30.2,30.2,80,245,115,115
